time	theta_jn	ra	psi	phi_orb	mtotal_ref	mtotal	logw	logprior	logl	hrss	deltalogll1	deltaloglh1	deltalogl	dec	
1.11117845301202e+09	2.62024442201062e-01	5.03351486665081e+00	1.91158942427052e+00	5.70318115069710e+00	1.00000000000000e+02	2.43789563316297e+02	-3.41821634760724e+01	1.86767727875099e+02	-1.83838917035644e+03	4.77512870192907e-21	3.94854412780189e+01	8.17568170875918e+01	1.17551424902862e+02	8.32289851438997e-01	
1.11117845302186e+09	6.03402196496399e-02	5.33650957790039e+00	1.79484907078215e+00	1.54464286722435e+00	1.00000000000000e+02	2.12379029715910e+02	-3.45583094540341e+01	1.87305128290679e+02	-1.83800622548161e+03	3.85439898839676e-21	3.64048977303194e+01	8.00239072568938e+01	1.17934369777684e+02	1.05972236594733e+00	
1.11117845300957e+09	3.00129633584433e-01	4.72493449117269e+00	2.93539949353905e+00	3.74685524871703e+00	1.00000000000000e+02	2.32856141312185e+02	-3.46727371522340e+01	1.86445036140804e+02	-1.83797260473530e+03	5.31439056017909e-21	3.83572334106749e+01	8.34724850739055e+01	1.17967990523995e+02	7.25849722367902e-01	
1.11117845301532e+09	5.24468202991539e-01	5.72832687001591e+00	7.30523752081051e-01	7.05017214541815e-01	1.00000000000000e+02	2.38587777650602e+02	-3.46343350879552e+01	1.87271810653880e+02	-1.83766849355422e+03	4.56466639550081e-21	3.30518845913523e+01	8.26600769036442e+01	1.18272101705074e+02	3.74823175890556e-01	
1.11117845301966e+09	2.74484024715162e-01	5.18299474420078e+00	5.52261790909023e-01	5.94469092555664e-02	1.00000000000000e+02	2.22619400463706e+02	-3.40582477093936e+01	1.86057792873565e+02	-1.83760702560241e+03	5.72956354808474e-21	3.55968052130186e+01	8.05748342346853e+01	1.18333569656884e+02	8.14743568788154e-01	
1.11117845302372e+09	1.49939294644518e-01	5.32627094791417e+00	1.69425005447835e+00	3.98912711415795e+00	1.00000000000000e+02	2.18017219876183e+02	-3.42483740098878e+01	1.86798410432217e+02	-1.83735492806350e+03	4.59106773662192e-21	3.65087038974526e+01	8.23783999515782e+01	1.18585667195794e+02	9.35814987137867e-01	
1.11117845302299e+09	2.21811153455047e-01	5.08267011838508e+00	5.42197589251475e-02	5.42333428094244e+00	1.00000000000000e+02	2.02222434311125e+02	-3.48754541808213e+01	1.86562654275532e+02	-1.83731206411911e+03	5.03474358199148e-21	3.63638168391261e+01	8.49021554985238e+01	1.18628531140186e+02	8.26159189485102e-01	
1.11117845301524e+09	9.85871265772523e-01	5.29391276864200e+00	1.73837408414405e+00	5.46264306251051e+00	1.00000000000000e+02	2.37330470102038e+02	-3.52731496441828e+01	1.84794498245403e+02	-1.83673745187880e+03	7.16802365191402e-21	3.23727474039490e+01	8.67597618682386e+01	1.19203143380497e+02	1.07566449186174e+00	
1.11117845301931e+09	6.70934320031868e-02	4.80129629417167e+00	3.03845448818694e+00	5.34656274781919e-02	1.00000000000000e+02	2.29543471299473e+02	-3.31739761639765e+01	1.86127491529131e+02	-1.83651305959975e+03	4.86726664309912e-21	3.95254930434501e+01	7.61433338243077e+01	1.19427535659543e+02	1.17767409753648e+00	
1.11117845302140e+09	9.49435161201402e-01	5.66043118001927e+00	1.37539214536991e+00	8.40300200666057e-01	1.00000000000000e+02	2.37786351626350e+02	-3.45542882905614e+01	1.85775477086175e+02	-1.83650852638386e+03	6.33238411427005e-21	4.27115708331875e+01	8.22154680304227e+01	1.19432068875442e+02	6.89048731863780e-01	
